timestamp,demand_mw,observation_type,source,report_file
2026-08-06T20:00:00+05:30,3453.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE06Aug2026.pdf
2026-08-07T03:00:00+05:30,2371.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE07Aug2026.pdf
2026-08-07T10:00:00+05:30,3193.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE07Aug2026.pdf
2026-08-07T16:00:00+05:30,3571.0,day_peak,MSLDC Daily System Operations Report,WEBSITE07Aug2026.pdf
2026-08-07T20:00:00+05:30,3441.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE07Aug2026.pdf
2026-08-08T03:00:00+05:30,2510.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE08Aug2026.pdf
2026-08-08T10:00:00+05:30,3130.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE08Aug2026.pdf
2026-08-08T16:00:00+05:30,3374.0,day_peak,MSLDC Daily System Operations Report,WEBSITE08Aug2026.pdf
2026-08-08T20:00:00+05:30,3334.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE08Aug2026.pdf
2026-08-09T03:00:00+05:30,2575.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE09Aug2026.pdf
2026-08-09T10:00:00+05:30,2664.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE09Aug2026.pdf
2026-08-09T16:00:00+05:30,2957.0,day_peak,MSLDC Daily System Operations Report,WEBSITE09Aug2026.pdf
2026-08-09T20:00:00+05:30,3024.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE09Aug2026.pdf
2026-08-10T03:00:00+05:30,2390.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE10Aug2026.pdf
2026-08-10T10:00:00+05:30,3808.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE10Aug2026.pdf
2026-08-10T16:00:00+05:30,3693.0,day_peak,MSLDC Daily System Operations Report,WEBSITE10Aug2026.pdf
2026-08-10T20:00:00+05:30,3492.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE10Aug2026.pdf
2026-08-11T03:00:00+05:30,2400.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE11Aug2026.pdf
2026-08-11T10:00:00+05:30,3615.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE11Aug2026.pdf
2026-08-11T16:00:00+05:30,3387.0,day_peak,MSLDC Daily System Operations Report,WEBSITE11Aug2026.pdf
2026-08-11T20:00:00+05:30,3251.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE11Aug2026.pdf
2026-08-12T03:00:00+05:30,2450.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE12Aug2026.pdf
2026-08-12T10:00:00+05:30,3403.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE12Aug2026.pdf
2026-08-12T16:00:00+05:30,3615.0,day_peak,MSLDC Daily System Operations Report,WEBSITE12Aug2026.pdf
2026-08-12T20:00:00+05:30,3479.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE12Aug2026.pdf
2026-08-13T03:00:00+05:30,2345.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE13Aug2026.pdf
2026-08-13T10:00:00+05:30,3208.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE13Aug2026.pdf
2026-08-13T16:00:00+05:30,3499.0,day_peak,MSLDC Daily System Operations Report,WEBSITE13Aug2026.pdf
2026-08-13T20:00:00+05:30,3355.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE13Aug2026.pdf
2026-08-14T03:00:00+05:30,2389.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE14Aug2026.pdf
2026-08-14T10:00:00+05:30,3459.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE14Aug2026.pdf
2026-08-14T16:00:00+05:30,3667.0,day_peak,MSLDC Daily System Operations Report,WEBSITE14Aug2026.pdf
2026-08-14T20:00:00+05:30,3446.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE14Aug2026.pdf
